Sr.No,District (Amphoe),Province (Changwat).,Region
364,Mueang Chainat,Chainat,Central
365,Mueang Chaiyaphum,Chaiyaphum,North-East
366,Mueang Chan,Sisaket,North-East
367,Mueang Chanthaburi,Chanthaburi,East
368,Mueang Chiang Mai,Chiang Mai,North
369,Mueang Chiang Rai,Chiang Rai,North
370,Mueang Chonburi,Chonburi,East
371,Mueang Chumphon,Chumphon,South
372,Mueang Kalasin,Kalasin,North-East
273,Mueang Kamphaeng Phet,Kamphaeng Phet,Central
374,Mueang Kanchanaburi,Kanchanaburi,West
475,Mueang Khon Kaen,Khon Kaen,North-East
376,Mueang Krabi,Krabi,South
377,Mueang Lampang,Lampang,North
378,Mueang Lamphun,Lamphun,North
379,Mueang Loei,Loei,North-East
380,Mueang Lopburi,Lopburi,Central
381,Mueang Mae Hong Son,Mae Hong Son,North
382,Mueang Maha Sarakham,Maha Sarakham,North-East
383,Mueang Mukdahan,Mukdahan,North-East
384,Mueang Nakhon Nayok,Nakhon Nayok,Central
385,Mueang Nakhon Pathom,Nakhon Pathom,Central
386,Mueang Nakhon Phanom,Nakhon Phanom,North-East
387,Mueang Nakhon Ratchasima,Nakhon Ratchasima,North-East
388,Mueang Nakhon Sawan,Nakhon Sawan,Central
389,Mueang Nakhon Si Thammarat,Nakhon Si Thammarat,South
390,Mueang Nan,Nan,North
391,Mueang Narathiwat,Narathiwat,South
392,Mueang Nong Khai,Nong Khai,North-East
393,Mueang Nongbua Lamphu,Nong Bua Lamphu,North-East
394,Mueang Nonthaburi,Nonthaburi,Central
395,Mueang Pan,Lampang,North
396,Mueang Pathum Thani,Pathum Thani,Central
397,Mueang Pattani (Malay: Patani),Pattani,South
398,Mueang Phang Nga,Phang Nga,South
399,Mueang Phatthalung,Phatthalung,South
400,Mueang Phayao,Phayao,North
401,Mueang Phetchabun,Phetchabun,Central
402,Mueang Phetchaburi,Phetchaburi,West
403,Mueang Phichit,Phichit,Central
405,Mueang Phitsanulok,Phitsanulok,Central
406,Mueang Phrae,Phrae,North
407,Mueang Phuket,Phuket,South
408,Mueang Prachinburi,Prachin Buri,East
409,Mueang Prachuap Khiri Khan,Prachuap Khiri Khan,West
